,query,museum_id,museum_name,rel
56,"performing arts, such as music, theater, or dance",3670,Barton College Art Galleries,3
57,"performing arts, such as music, theater, or dance",837,Mount Dora Center for the Arts,3
58,"performing arts, such as music, theater, or dance",1003,Georgia Southern University Center for Art and Theatre,4
59,"performing arts, such as music, theater, or dance",5712,Nelson-Atkins Museum of Art,3
60,"performing arts, such as music, theater, or dance",1900,Desert of Maine,2
61,"performing arts, such as music, theater, or dance",5435,Hirshhorn Museum and Sculpture Garden,3
62,"performing arts, such as music, theater, or dance",5621,Stephen Foster Memorial Museum,3
63,"performing arts, such as music, theater, or dance",3867,Empire Arts Center,5
64,"performing arts, such as music, theater, or dance",4282,Marywood University Art Galleries,3
65,"performing arts, such as music, theater, or dance",2388,Detroit Institute of Arts,3
66,"performing arts, such as music, theater, or dance",4275,Lehigh University Art Galleries,3
67,"performing arts, such as music, theater, or dance",5122,Future of Flight Aviation Center & Boeing Tour,2
68,"performing arts, such as music, theater, or dance",2515,Saginaw Valley State University Art Gallery,3
69,"performing arts, such as music, theater, or dance",3410,Griffis Sculpture Park,3
70,"performing arts, such as music, theater, or dance",1383,Earlham College Art Collection,3
71,"performing arts, such as music, theater, or dance",2476,Midland County Historical Society's Heritage Park,3
72,"performing arts, such as music, theater, or dance",5652,MassArt Art Museum at the Massachusetts College of Art and Design,3
73,"performing arts, such as music, theater, or dance",1338,University of Illinois Springfield Visual Arts Gallery,3
74,"performing arts, such as music, theater, or dance",1084,Honolulu Museum of Art,3
75,"performing arts, such as music, theater, or dance",5577,Old Bethpage Village Restoration,2
76,"performing arts, such as music, theater, or dance",3845,Tryon Palace Historic Site & Gardens,3
77,"performing arts, such as music, theater, or dance",5361,Overture Center for the Arts,5
78,"performing arts, such as music, theater, or dance",2660,Landmark Center,4
79,"performing arts, such as music, theater, or dance",2104,Washington County Museum of Fine Arts,3
80,"performing arts, such as music, theater, or dance",2472,Michigan State University Bug House,2
81,"performing arts, such as music, theater, or dance",1785,Shaker Village of Pleasant Hill,3
82,"performing arts, such as music, theater, or dance",1993,Academy Art Museum,3
83,"performing arts, such as music, theater, or dance",182,Tempe Center for the Arts,5
84,"performing arts, such as music, theater, or dance",5656,"Museum of Fine Arts, Boston",3
85,"performing arts, such as music, theater, or dance",2081,Salisbury University Art Galleries,3
86,"performing arts, such as music, theater, or dance",4072,Youngstown State University Mineral Museum,2
87,"performing arts, such as music, theater, or dance",1177,Draewell Gallery at Judson University,3
88,"performing arts, such as music, theater, or dance",5513,Callanwolde Fine Arts Center,4
89,"performing arts, such as music, theater, or dance",4630,Country Music Hall of Fame and Museum,5
90,"performing arts, such as music, theater, or dance",5645,Huret and Spector Gallery at Emerson College,3
91,"performing arts, such as music, theater, or dance",3347,Chautauqua Institution,5
92,"performing arts, such as music, theater, or dance",4389,Whitaker Center for Science and the Arts,5
93,"performing arts, such as music, theater, or dance",4907,Ferguson Center for the Arts,5
94,"performing arts, such as music, theater, or dance",5447,Museum of the Bible,2
95,"performing arts, such as music, theater, or dance",2475,Midland Center for the Arts,5
96,"performing arts, such as music, theater, or dance",4355,Southern Alleghenies Museum of Art,3
97,"performing arts, such as music, theater, or dance",5235,Oglebay Institute’s Stifel Fine Arts Center,3
98,"performing arts, such as music, theater, or dance",4714,Tennessee State Museum,2
99,"performing arts, such as music, theater, or dance",1583,National Czech & Slovak Museum & Library,3
100,"performing arts, such as music, theater, or dance",104,Yupiit Piciryarait Cultural Center,3
101,"performing arts, such as music, theater, or dance",2244,MassArt Art Museum,3
102,"performing arts, such as music, theater, or dance",253,The Momentary,4
103,"performing arts, such as music, theater, or dance",999,Georgia Museum of Art,3
0,technological or scientific innovations,4022,Oberlin Heritage Center,1
1,technological or scientific innovations,3988,Johnson-Humrickhouse Museum,1
2,technological or scientific innovations,1193,Everett Galleries at Monmouth College,1
3,technological or scientific innovations,3501,Museum of the Earth,4
4,technological or scientific innovations,5032,Science Museum of Virginia,5
5,technological or scientific innovations,2145,Cape Ann Museum,1
6,technological or scientific innovations,3225,Blackwater Draw Museum & Archaeological Site,2
7,technological or scientific innovations,5222,Huntington Museum of Art,1
8,technological or scientific innovations,2472,Michigan State University Bug House,2
9,technological or scientific innovations,3399,George Eastman Museum,3
10,technological or scientific innovations,3304,Albany Institute of History & Art,1
11,technological or scientific innovations,1864,Poverty Point State Historic Site,2
12,technological or scientific innovations,5459,National Museum of American History,4
13,technological or scientific innovations,4196,Delaware County Institute of Science,4
14,technological or scientific innovations,449,Barnum Museum,1
15,technological or scientific innovations,4761,Kanab Visitor Center,2
16,technological or scientific innovations,390,Mesa Verde National Park,2
17,technological or scientific innovations,2267,Natural Science Museum in Hinchman House,3
18,technological or scientific innovations,850,Museum of Science and Industry,5
19,technological or scientific innovations,5399,Weis Earth Science Museum,3
20,technological or scientific innovations,2652,Jeffers Petroglyphs,2
21,technological or scientific innovations,2028,Goddard Visitor Center,5
22,technological or scientific innovations,4136,Sam Noble Oklahoma Museum of Natural History,3
23,technological or scientific innovations,4730,Arches National Park,2
24,technological or scientific innovations,5443,Library of Congress,3
25,technological or scientific innovations,3227,Bradbury Science Museum,5
26,technological or scientific innovations,772,History of Diving Museum,3
27,technological or scientific innovations,5542,Brookhaven National Laboratory Science Learning Center,5
28,technological or scientific innovations,1223,Illinois State Museum,3
29,technological or scientific innovations,713,Fairchild Tropical Botanic Garden,3
30,technological or scientific innovations,2029,Goucher College Art Galleries,1
31,technological or scientific innovations,3528,Niagara Science Museum,5
32,technological or scientific innovations,2797,University of Mississippi Museum,2
33,technological or scientific innovations,2155,Coffin House,1
34,technological or scientific innovations,1218,Hull House,1
35,technological or scientific innovations,361,Denver Art Museum,1
36,technological or scientific innovations,547,Peabody Museum of Natural History,4
37,technological or scientific innovations,5457,National Museum of African American History and Culture,2
38,technological or scientific innovations,3493,Milton J. Rubenstein Museum of Science and Technology,5
39,technological or scientific innovations,5668,USS Constitution,2
40,technological or scientific innovations,4984,Mount Vernon,1
41,technological or scientific innovations,1150,Cahokia Mounds State Historic Site,2
42,technological or scientific innovations,2511,University of Michigan School of Art & Design Galleries,1
43,technological or scientific innovations,4647,Fort Negley,1
44,technological or scientific innovations,399,Morrison Natural History Museum,3
45,technological or scientific innovations,4743,Cannonville Visitor Center,2
46,technological or scientific innovations,4669,McClung Museum of Natural History and Culture,2
47,technological or scientific innovations,40,Huntsville Museum of Art,1
48,technological or scientific innovations,3559,Roberson Museum and Science Center,3
49,technological or scientific innovations,2430,The Henry Ford,4
50,technological or scientific innovations,2135,Blue Hill Observatory & Science Center,3
51,technological or scientific innovations,1738,Frazier History Museum,1
52,technological or scientific innovations,5438,Interior Museum,3
53,technological or scientific innovations,2909,Ravalli County Museum,2
54,technological or scientific innovations,886,Phillip and Patricia Frost Museum of Science,5
55,technological or scientific innovations,5636,Boston University Art Galleries,1
56,technological or scientific innovations,2370,Chippewa Nature Center,2
57,technological or scientific innovations,4543,Ripley's Believe It or Not!,2
58,technological or scientific innovations,4265,Joseph Priestley House,4
59,technological or scientific innovations,1229,ISM Chicago Gallery,3
60,technological or scientific innovations,2777,Mississippi Museum of Natural Science,3
61,technological or scientific innovations,5527,High Museum of Art,1
62,technological or scientific innovations,2349,Ann Arbor Hands-On Museum,5
63,technological or scientific innovations,5,Alabama Museum of Natural History,3
64,technological or scientific innovations,5607,Carnegie Museum of Natural History,4
65,technological or scientific innovations,5142,Mount St. Helens - Johnston Ridge Observatory,4
66,technological or scientific innovations,3347,Chautauqua Institution,1
67,technological or scientific innovations,726,Florida Museum of Natural History,4
68,technological or scientific innovations,1126,Adler Planetarium,5
69,technological or scientific innovations,3229,Carlsbad Caverns National Park,2
70,technological or scientific innovations,1373,Chellberg Farmhouse,1
71,technological or scientific innovations,1149,Burpee Museum of Natural History,3
72,technological or scientific innovations,3228,Capulin Volcano National Monument,2
73,technological or scientific innovations,1010,Gwinnett Environmental & Heritage Center,3
74,technological or scientific innovations,3677,Biltmore Estate,1
75,technological or scientific innovations,155,Meteor Crater,4
76,technological or scientific innovations,4512,The Hunley,2
77,technological or scientific innovations,4734,Big Water Visitor Center,2
78,technological or scientific innovations,362,Denver Firefighters Museum,2
79,technological or scientific innovations,4740,Bryce Canyon National Park,2
80,technological or scientific innovations,4980,Monticello,1
81,technological or scientific innovations,35,George Washington Carver Museum,3
82,technological or scientific innovations,2337,Wistariahurst Museum,1
83,technological or scientific innovations,2895,Glendive Dinosaur and Fossil Museum,3
84,technological or scientific innovations,1785,Shaker Village of Pleasant Hill,1
85,technological or scientific innovations,3524,New York State Museum,3
86,technological or scientific innovations,2781,Mississippi State University Galleries,1
87,technological or scientific innovations,365,Dinosaur National Monument,3
88,technological or scientific innovations,5463,National Museum of Natural History,5
89,technological or scientific innovations,1800,Wickliffe Mounds,2
90,technological or scientific innovations,3419,Herbert F. Johnson Museum of Art,1
91,technological or scientific innovations,112,Arizona-Sonora Desert Museum,4
92,technological or scientific innovations,3288,Very Large Array,5
93,technological or scientific innovations,1134,Art Institute of Chicago,1
94,technological or scientific innovations,5572,Montauk Point Lighthouse,2
95,technological or scientific innovations,2064,National Institutes of Health Visitor Center and Nobel Laureate Exhibit Hall,5
96,technological or scientific innovations,2706,Runestone Museum,2
97,technological or scientific innovations,2710,Science Museum of Minnesota,5
98,technological or scientific innovations,2692,Oliver Kelley Farm,2
99,technological or scientific innovations,5066,Virginia Institute of Marine Science Visitor Center and Aquarium,4
100,technological or scientific innovations,4140,Spiro Mounds,1
101,technological or scientific innovations,2577,Bell Museum of Natural History,3
102,technological or scientific innovations,2197,Harvard Museum of Natural History,4
0,engineering museums,5696,Seattle University Galleries,1
1,engineering museums,1795,WaterWorks Museum at Louisville Water Tower Park,3
2,engineering museums,2472,Michigan State University Bug House,1
3,engineering museums,2954,Kregel Windmill Museum,3
4,engineering museums,3641,Watervliet Arsenal Museum,4
5,engineering museums,4119,Oklahoma Contemporary,1
6,engineering museums,533,New England Air Museum,4
7,engineering museums,2182,French Cable Station Museum,1
8,engineering museums,978,Chickamauga and Chattanooga National Military Park,1
9,engineering museums,3306,Alfred Ceramic Art Museum,1
10,engineering museums,1663,Kansas Children's Discovery Center,1
11,engineering museums,2063,National Electronics Museum,5
12,engineering museums,5521,Fernbank Science Center,1
13,engineering museums,4774,Snow College Art Gallery,1
14,engineering museums,5055,University of Virginia Galleries,1
15,engineering museums,4446,New England Wireless and Steam Museum,5
16,engineering museums,297,Folsom Powerhouse State Historic Park,3
17,engineering museums,3299,Adirondack Experience,2
18,engineering museums,824,Merrill House Museum,1
19,engineering museums,3373,Eleanor Roosevelt National Historic Site,1
20,engineering museums,2376,Copper Harbor Lighthouse,1
21,engineering museums,4486,Clemson University Galleries,1
22,engineering museums,4072,Youngstown State University Mineral Museum,1
23,engineering museums,966,Augusta Canal National Heritage Area Discovery Center,1
24,engineering museums,1433,Indianapolis Motor Speedway Museum,2
25,engineering museums,2349,Ann Arbor Hands-On Museum,3
26,engineering museums,2719,Split Rock Lighthouse,2
27,engineering museums,1871,Shreveport Water Works Museum,4
28,engineering museums,1448,Louis J. Koch Family Children's Museum of Evansville,1
29,engineering museums,1931,Maine Maritime Museum,2
30,engineering museums,3334,Burden Iron Works,2
31,engineering museums,1628,Big Brutus,1
32,engineering museums,1005,Georgia State Railroad Museum,4
33,engineering museums,707,Edison and Ford Winter Estates,2
34,engineering museums,480,Discovery Museum and Planetarium,2
35,engineering museums,577,University of Saint Joseph Art Gallery,1
36,engineering museums,2695,Phelps Mill,1
37,engineering museums,2658,Lake Superior Railroad Museum,4
38,engineering museums,1862,Plaquemine Lock State Historic Site,2
39,engineering museums,2527,SS City of Milwaukee,3
40,engineering museums,1003,Georgia Southern University Center for Art and Theatre,1
41,engineering museums,1145,Bradley University Galleries,1
42,engineering museums,3138,Liberty Science Center,2
43,engineering museums,2577,Bell Museum of Natural History,1
44,engineering museums,2505,Quincy Mine,4
45,engineering museums,4834,Sullivan Museum and History Center,1
46,engineering museums,1209,Graue Mill and Museum,2
47,engineering museums,371,Fiske Planetarium,2
48,engineering museums,2515,Saginaw Valley State University Art Gallery,1
49,engineering museums,484,Eli Whitney Museum,3
50,engineering museums,2861,National Museum of Transportation,4
51,engineering museums,2009,Chesapeake Bay Maritime Museum,2
52,engineering museums,4657,Hunter Museum of American Art,1
53,engineering museums,354,Colorado Railroad Museum,4
54,engineering museums,4346,Rough and Tumble Engineers Historical Association,4
55,engineering museums,4155,Allegheny Portage Railroad National Historic Site,3
56,engineering museums,5608,Center for PostNatural History,1
57,engineering museums,2471,Michigan Science Center,3
58,engineering museums,2798,Vicksburg National Military Park,1
59,engineering museums,2368,Charles H. Wright Museum of African American History,1
60,engineering museums,1056,SCAD Museum of Art,1
61,engineering museums,1083,Hawaii Children's Discovery Center,1
62,engineering museums,1987,Willowbrook Museum Village,1
63,engineering museums,3264,National Museum of Nuclear Science & History,5
64,engineering museums,2501,Point Betsie Light,1
65,engineering museums,4304,National Canal Museum,3
66,engineering museums,2458,Marquette Harbor Light,1
67,engineering museums,2019,Discovery Station,2
68,engineering museums,1207,Glessner House Museum,1
69,engineering museums,4222,Gallitzin Tunnels Park & Museum,2
70,engineering museums,3586,Sciencenter,1
71,engineering museums,101,Sitka National Historical Park,1
72,engineering museums,1561,Historic General Dodge House,1
73,engineering museums,4299,Moravian Pottery and Tile Works,1
74,engineering museums,5676,Center for Wooden Boats,2
75,engineering museums,2028,Goddard Visitor Center,1
76,engineering museums,5559,Hook Windmill,1
77,engineering museums,3308,Antique Boat Museum,2
78,engineering museums,560,Schelfhaudt Gallery at the University of Bridgeport,1
79,engineering museums,2529,Steam Railroading Institute,4
80,engineering museums,352,Colorado State University Art Galleries,1
81,engineering museums,5335,Milwaukee Art Museum,1
82,engineering museums,2196,Hart Nautical Museum,5
83,engineering museums,3271,New Mexico Museum of Space History,4
84,engineering museums,2470,Michigan Maritime Museum,2
85,engineering museums,3238,El Rancho de las Golondrinas,1
86,engineering museums,5641,Gallery 360 at Northeastern University,1
87,engineering museums,5349,National Railroad Museum,5
88,engineering museums,2610,Edna G. Tugboat,1
89,engineering museums,5454,National Gallery of Art,1
90,engineering museums,4404,Block Island Southeast Light,1
91,engineering museums,1359,Auburn Cord Duesenberg Automobile Museum,3
92,engineering museums,5452,National Children's Museum,1
93,engineering museums,5129,KidsQuest Children's Museum,1
94,engineering museums,1101,USS Arizona Memorial,1
95,engineering museums,1126,Adler Planetarium,2
96,engineering museums,2906,Museum of the Rockies,1
97,engineering museums,4015,National Museum of the United States Air Force,2
98,engineering museums,2818,Discovery Center of Springfield,1
99,engineering museums,2576,Bally Blacksmith Shop,1
100,engineering museums,2886,Archie Bray Foundation for the Ceramic Arts,1
101,engineering museums,1670,Kansas State University Historic Costume and Textile Museum,1
102,engineering museums,4793,BCA Center,1
103,engineering museums,42,Iron & Steel Museum of Alabama,3
104,engineering museums,4703,Shiloh National Military Park,1
105,engineering museums,2781,Mississippi State University Galleries,1
106,engineering museums,5606,Carnegie Museum of Art,1
107,engineering museums,1594,Putnam Museum,2
108,engineering museums,274,University Museum and Cultural Center,1
109,engineering museums,5033,Science Museum of Western Virginia,3
110,engineering museums,4989,National Inventors Hall of Fame,2
111,engineering museums,2882,Watkins Woolen Mill State Park and State Historic Site,1
112,engineering museums,3826,Richard Petty Museum,2
113,engineering museums,253,The Momentary,1
114,engineering museums,1488,Rotary Jail Museum and Tannenbaum Cultural Center,1
115,engineering museums,850,Museum of Science and Industry,2
116,engineering museums,1214,Hegeler Carus Mansion,1
117,engineering museums,1640,Cosmosphere,2
118,engineering museums,4795,Ben's Mill,2
119,engineering museums,4893,Colonial National Historical Park,1
0,"unique or unusual topics like pop culture, toys, or oddities",897,Ripley's Believe It or Not! Museum,5
1,"unique or unusual topics like pop culture, toys, or oddities",4993,Nauticus,2
2,"unique or unusual topics like pop culture, toys, or oddities",3606,Stone Quarry Hill Art Park,1
3,"unique or unusual topics like pop culture, toys, or oddities",2640,History Center of Olmsted County,1
4,"unique or unusual topics like pop culture, toys, or oddities",1055,Savannah-Ogeechee Canal Museum & Nature Center,1
5,"unique or unusual topics like pop culture, toys, or oddities",1680,Mid-America All-Indian Center,1
6,"unique or unusual topics like pop culture, toys, or oddities",2637,Hinkly House Museum,1
7,"unique or unusual topics like pop culture, toys, or oddities",1735,The Filson Historical Society,1
8,"unique or unusual topics like pop culture, toys, or oddities",2541,Upper Peninsula Children's Museum,2
9,"unique or unusual topics like pop culture, toys, or oddities",314,Napa Valley Museum,2
10,"unique or unusual topics like pop culture, toys, or oddities",1085,ʻImiloa Astronomy Center,2
11,"unique or unusual topics like pop culture, toys, or oddities",708,Elliott Museum,1
12,"unique or unusual topics like pop culture, toys, or oddities",3559,Roberson Museum and Science Center,2
13,"unique or unusual topics like pop culture, toys, or oddities",2185,Fuller Craft Museum,1
14,"unique or unusual topics like pop culture, toys, or oddities",4328,Pennsylvania State Police Museum,1
15,"unique or unusual topics like pop culture, toys, or oddities",5278,Charles Allis Art Museum,1
16,"unique or unusual topics like pop culture, toys, or oddities",2131,Berkshire Museum,1
17,"unique or unusual topics like pop culture, toys, or oddities",95,Museum of the North,1
18,"unique or unusual topics like pop culture, toys, or oddities",2888,Carter County Museum,1
19,"unique or unusual topics like pop culture, toys, or oddities",1852,Multicultural Center of the South,1
20,"unique or unusual topics like pop culture, toys, or oddities",1158,Chana School,1
21,"unique or unusual topics like pop culture, toys, or oddities",4168,Berks History Center,1
22,"unique or unusual topics like pop culture, toys, or oddities",4285,Meadowcroft Rockshelter and Museum of Rural Life,1
23,"unique or unusual topics like pop culture, toys, or oddities",1584,National Farm Toy Museum,5
24,"unique or unusual topics like pop culture, toys, or oddities",4891,CIA Museum,2
25,"unique or unusual topics like pop culture, toys, or oddities",5614,Mattress Factory,2
26,"unique or unusual topics like pop culture, toys, or oddities",128,Deer Valley Petroglyph Preserve,1
27,"unique or unusual topics like pop culture, toys, or oddities",1648,Flint Hills Discovery Center,2
28,"unique or unusual topics like pop culture, toys, or oddities",1809,Baton Rouge Gallery,1
29,"unique or unusual topics like pop culture, toys, or oddities",3694,Charlotte Nature Museum,1
30,"unique or unusual topics like pop culture, toys, or oddities",1178,Driehaus Museum,1
31,"unique or unusual topics like pop culture, toys, or oddities",5288,Discovery World,2
32,"unique or unusual topics like pop culture, toys, or oddities",2734,Waseca County Historical Society Museum,1
33,"unique or unusual topics like pop culture, toys, or oddities",5500,Oroville Chinese Temple,1
34,"unique or unusual topics like pop culture, toys, or oddities",2760,House on Ellicott's Hill,1
35,"unique or unusual topics like pop culture, toys, or oddities",3084,Church of the Presidents,1
36,"unique or unusual topics like pop culture, toys, or oddities",2545,Voigt House Victorian Museum,2
37,"unique or unusual topics like pop culture, toys, or oddities",1335,Ukrainian National Museum,1
38,"unique or unusual topics like pop culture, toys, or oddities",451,Boothe Memorial Park and Museum,1
39,"unique or unusual topics like pop culture, toys, or oddities",4596,Sturgis Motorcycle Museum & Hall of Fame,5
40,"unique or unusual topics like pop culture, toys, or oddities",4136,Sam Noble Oklahoma Museum of Natural History,1
41,"unique or unusual topics like pop culture, toys, or oddities",3609,The Strong,5
42,"unique or unusual topics like pop culture, toys, or oddities",5025,Ripley's Believe It or Not!,5
43,"unique or unusual topics like pop culture, toys, or oddities",3767,Marbles Kids Museum,2
44,"unique or unusual topics like pop culture, toys, or oddities",3952,EnterTRAINment Junction,5
45,"unique or unusual topics like pop culture, toys, or oddities",210,Arts and Science Center for Southeast Arkansas,1
46,"unique or unusual topics like pop culture, toys, or oddities",4365,Susquehanna Art Museum,1
47,"unique or unusual topics like pop culture, toys, or oddities",5063,Virginia Historical Society,2
48,"unique or unusual topics like pop culture, toys, or oddities",2949,Heartland Museum of Military Vehicles,1
49,"unique or unusual topics like pop culture, toys, or oddities",3315,Best House and Medical Exhibit,1
50,"unique or unusual topics like pop culture, toys, or oddities",5207,Fort New Salem,1
51,"unique or unusual topics like pop culture, toys, or oddities",5709,National Museum of Toys and Miniatures,5
52,"unique or unusual topics like pop culture, toys, or oddities",3704,Cupola House,1
53,"unique or unusual topics like pop culture, toys, or oddities",740,Fort Lauderdale History Center,1
54,"unique or unusual topics like pop culture, toys, or oddities",4140,Spiro Mounds,1
55,"unique or unusual topics like pop culture, toys, or oddities",4046,Serpent Mound,1
56,"unique or unusual topics like pop culture, toys, or oddities",1304,Polish Museum of America,1
57,"unique or unusual topics like pop culture, toys, or oddities",644,Audubon House and Tropical Gardens,1
58,"unique or unusual topics like pop culture, toys, or oddities",766,Historic Haile Homestead at Kanapaha Plantation,1
59,"unique or unusual topics like pop culture, toys, or oddities",4576,International Vinegar Museum,5
60,"unique or unusual topics like pop culture, toys, or oddities",5583,Polish American Museum,1
61,"unique or unusual topics like pop culture, toys, or oddities",3959,Fort Firelands,2
62,"unique or unusual topics like pop culture, toys, or oddities",5605,Andy Warhol Museum,5
63,"unique or unusual topics like pop culture, toys, or oddities",1821,Destrehan Plantation,1
64,"unique or unusual topics like pop culture, toys, or oddities",5066,Virginia Institute of Marine Science Visitor Center and Aquarium,1
65,"unique or unusual topics like pop culture, toys, or oddities",3347,Chautauqua Institution,1
66,"unique or unusual topics like pop culture, toys, or oddities",3739,Historic Stagville,1
67,"unique or unusual topics like pop culture, toys, or oddities",363,"Denver Museum of Miniatures, Dolls and Toys",5
68,"unique or unusual topics like pop culture, toys, or oddities",4806,Fairbanks Museum and Planetarium,1
69,"unique or unusual topics like pop culture, toys, or oddities",4731,Monte L. Bean Life Science Museum,1
70,"unique or unusual topics like pop culture, toys, or oddities",2818,Discovery Center of Springfield,1
71,"unique or unusual topics like pop culture, toys, or oddities",1120,Museum of Idaho,1
72,"unique or unusual topics like pop culture, toys, or oddities",365,Dinosaur National Monument,2
73,"unique or unusual topics like pop culture, toys, or oddities",2728,United States Hockey Hall of Fame,2
74,"unique or unusual topics like pop culture, toys, or oddities",4294,Misericordia University Art Galleries,1
75,"unique or unusual topics like pop culture, toys, or oddities",4469,Aiken-Rhett House,1
76,"unique or unusual topics like pop culture, toys, or oddities",2521,Seul Choix Point Light and Museum,1
77,"unique or unusual topics like pop culture, toys, or oddities",4983,Moses Myers House,1
78,"unique or unusual topics like pop culture, toys, or oddities",1714,Big Sandy Heritage Center,1
79,"unique or unusual topics like pop culture, toys, or oddities",2016,Cray House,1
80,"unique or unusual topics like pop culture, toys, or oddities",1683,"Museum of Deaf History, Arts and Culture",2
81,"unique or unusual topics like pop culture, toys, or oddities",2127,Beer Can Museum,5
82,"unique or unusual topics like pop culture, toys, or oddities",1802,Abita Mystery House,5
83,"unique or unusual topics like pop culture, toys, or oddities",5464,National Museum of Women in the Arts,2
84,"unique or unusual topics like pop culture, toys, or oddities",3513,National Toy Hall of Fame,5
85,"unique or unusual topics like pop culture, toys, or oddities",3357,Corning Museum of Glass,3
86,"unique or unusual topics like pop culture, toys, or oddities",1214,Hegeler Carus Mansion,1
87,"unique or unusual topics like pop culture, toys, or oddities",3531,Olana State Historic Site,1
88,"unique or unusual topics like pop culture, toys, or oddities",4995,Norfolk History Museum at the Willoughby-Baylor House,1
89,"unique or unusual topics like pop culture, toys, or oddities",4766,Natural History Museum of Utah,1
90,"unique or unusual topics like pop culture, toys, or oddities",2648,Itasca Heritage Center,1
91,"unique or unusual topics like pop culture, toys, or oddities",2823,Frank Lloyd Wright House in Ebsworth Park,2
92,"unique or unusual topics like pop culture, toys, or oddities",480,Discovery Museum and Planetarium,2
93,"unique or unusual topics like pop culture, toys, or oddities",4500,Halsey Institute of Contemporary Art,1
94,"unique or unusual topics like pop culture, toys, or oddities",5427,Folger Shakespeare Library,1
