query,museum_id,museum_name,score,rel
"performing arts, such as music, theater, or dance",4282,Marywood University Art Galleries,11.3711188,3
"performing arts, such as music, theater, or dance",4072,Youngstown State University Mineral Museum,11.36711938,2
"performing arts, such as music, theater, or dance",160,Musical Instrument Museum,11.30627741,4
"performing arts, such as music, theater, or dance",4614,Belmont University Galleries,11.27456634,3
"performing arts, such as music, theater, or dance",104,Yupiit Piciryarait Cultural Center,11.06669543,3
"performing arts, such as music, theater, or dance",2346,Alden B. Dow Museum of Science & Art,11.03919634,3
"performing arts, such as music, theater, or dance",2475,Midland Center for the Arts,11.03919634,5
"performing arts, such as music, theater, or dance",2476,Midland County Historical Society's Heritage Park,11.03919634,3
"performing arts, such as music, theater, or dance",1323,Sousa Archives and Center for American Music,11.01274432,4
"performing arts, such as music, theater, or dance",5361,Overture Center for the Arts,10.94343286,5
"performing arts, such as music, theater, or dance",1383,Earlham College Art Collection,10.60293396,3
"performing arts, such as music, theater, or dance",4948,John C. Wells Planetarium,10.40082769,2
"performing arts, such as music, theater, or dance",4673,Memphis Music Hall of Fame,10.39291773,4
"performing arts, such as music, theater, or dance",1326,Southern Illinois University Edwardsville ADW Gallery,10.17795053,3
"performing arts, such as music, theater, or dance",641,Art and Culture Center of Hollywood,10.15676808,4
"performing arts, such as music, theater, or dance",5388,Ten Chimneys,10.07916706,3
"performing arts, such as music, theater, or dance",2609,Duluth Depot,9.992789327,3
"performing arts, such as music, theater, or dance",5196,"Carnegie Hall, Inc.",9.974575176,5
"performing arts, such as music, theater, or dance",1583,National Czech & Slovak Museum & Library,9.900272876,3
"performing arts, such as music, theater, or dance",2419,Grand Valley State University Art Galleries,9.898756751,3
"performing arts, such as music, theater, or dance",3172,Perkins Center for the Arts,9.818544231,4
"performing arts, such as music, theater, or dance",4630,Country Music Hall of Fame and Museum,9.811517466,5
"performing arts, such as music, theater, or dance",3889,Memorial Union Gallery at North Dakota State University,9.752320962,3
"performing arts, such as music, theater, or dance",2446,Lansing Art Gallery,9.741281548,3
"performing arts, such as music, theater, or dance",837,Mount Dora Center for the Arts,9.549588262,3
"performing arts, such as music, theater, or dance",1715,Bill Monroe Museum,9.416228591,4
"performing arts, such as music, theater, or dance",1522,Anamosa State Penitentiary Museum,9.380427862,2
"performing arts, such as music, theater, or dance",896,Ringling Museum of Art,9.289177764,4
"performing arts, such as music, theater, or dance",5632,Boston Children's Museum,9.223991264,3
"performing arts, such as music, theater, or dance",3717,Greensboro College Art Galleries,9.195501206,3
"performing arts, such as music, theater, or dance",4206,Erie Art Museum,9.142086929,3
"performing arts, such as music, theater, or dance",5652,MassArt Art Museum at the Massachusetts College of Art and Design,9.037489678,3
"performing arts, such as music, theater, or dance",5653,Massachusetts College of Art and Design Galleries,9.037489678,3
"performing arts, such as music, theater, or dance",2245,Massachusetts Museum of Contemporary Art,8.97945931,4
"performing arts, such as music, theater, or dance",2029,Goucher College Art Galleries,8.892693398,3
"performing arts, such as music, theater, or dance",1290,Newberry Library,8.792563607,2
"performing arts, such as music, theater, or dance",1980,University of Southern Maine Art Gallery,8.735646744,3
"performing arts, such as music, theater, or dance",1981,University of Southern Maine Atrium Art Gallery,8.735646744,3
"performing arts, such as music, theater, or dance",1269,McKendree University Gallery of Art,8.704091969,3
"performing arts, such as music, theater, or dance",2966,Omaha Black Music Hall of Fame,8.686116494,4
"performing arts, such as music, theater, or dance",2244,MassArt Art Museum,8.660857364,3
"performing arts, such as music, theater, or dance",3827,Roanoke Island Festival Park,8.653293944,4
"performing arts, such as music, theater, or dance",2952,Joslyn Art Museum,8.411727526,3
"performing arts, such as music, theater, or dance",1339,University of St. Francis Gallery,8.331787265,3
"performing arts, such as music, theater, or dance",4689,Parthenon,8.324059231,2
"performing arts, such as music, theater, or dance",2104,Washington County Museum of Fine Arts,8.320038477,3
"performing arts, such as music, theater, or dance",5008,Piedmont Arts,8.283328144,4
"performing arts, such as music, theater, or dance",383,Lakewood Cultural Center,8.233697953,5
"performing arts, such as music, theater, or dance",405,Museum of Outdoor Arts,8.042333009,3
"performing arts, such as music, theater, or dance",1193,Everett Galleries at Monmouth College,7.875313,3
"performing arts, such as music, theater, or dance",4800,Bread and Puppet Museum,7.858887225,4
"performing arts, such as music, theater, or dance",2386,Dennos Museum Center,7.810965049,3
"performing arts, such as music, theater, or dance",1645,Emporia State University Galleries,7.660009574,3
"performing arts, such as music, theater, or dance",5311,Jewish Museum Milwaukee,7.620764375,3
"performing arts, such as music, theater, or dance",4494,Francis Marion University Galleries,7.614399288,3
"performing arts, such as music, theater, or dance",1072,Valdosta State University Fine Arts Gallery,7.547531478,3
"performing arts, such as music, theater, or dance",4045,Schumacher Gallery,7.500574383,3
"performing arts, such as music, theater, or dance",5018,Radford University Art Museum,7.409427342,3
"performing arts, such as music, theater, or dance",1347,Wheaton College Walford Art Galleries,7.314980354,3
"performing arts, such as music, theater, or dance",352,Colorado State University Art Galleries,7.308146103,3
"performing arts, such as music, theater, or dance",4581,National Music Museum,7.288374068,4
"performing arts, such as music, theater, or dance",3499,Munson-Williams-Proctor Arts Institute Museum of Art,7.272687121,3
"performing arts, such as music, theater, or dance",999,Georgia Museum of Art,7.147184764,3
"performing arts, such as music, theater, or dance",4788,Weber State University Museum of Natural Science,7.116669559,2
"performing arts, such as music, theater, or dance",4355,Southern Alleghenies Museum of Art,7.07782291,3
"performing arts, such as music, theater, or dance",1479,Purdue University Galleries,7.050472335,3
"performing arts, such as music, theater, or dance",1285,National Museum of Mexican Art,6.97044545,3
"performing arts, such as music, theater, or dance",1683,"Museum of Deaf History, Arts and Culture",6.777694533,3
"performing arts, such as music, theater, or dance",2608,Duluth Art Institute,6.7079976,3
"performing arts, such as music, theater, or dance",1155,Cedarhurst Center for the Arts,6.603139517,4
"performing arts, such as music, theater, or dance",5471,The Phillips Collection,6.515430879,3
"performing arts, such as music, theater, or dance",3786,Museum of Anthropology at Wake Forest University,6.494974989,2
"performing arts, such as music, theater, or dance",1338,University of Illinois Springfield Visual Arts Gallery,6.485391395,3
"performing arts, such as music, theater, or dance",4130,Pickens Museum,6.481297235,2
"performing arts, such as music, theater, or dance",3670,Barton College Art Galleries,6.44776801,3
"performing arts, such as music, theater, or dance",5656,"Museum of Fine Arts, Boston",6.425753262,3
"performing arts, such as music, theater, or dance",746,Frost Art Museum,6.327623173,3
"performing arts, such as music, theater, or dance",2081,Salisbury University Art Galleries,6.231683865,3
"performing arts, such as music, theater, or dance",749,Glazer Children's Museum,6.198624239,2
"performing arts, such as music, theater, or dance",2754,Delta State University Sculpture Garden,6.161630046,3
"performing arts, such as music, theater, or dance",2388,Detroit Institute of Arts,6.133321195,3
"performing arts, such as music, theater, or dance",4486,Clemson University Galleries,6.125538195,3
"performing arts, such as music, theater, or dance",4679,Museum of Appalachia,6.054287783,3
"performing arts, such as music, theater, or dance",5432,Georgetown University Art Galleries,5.984712171,3
"performing arts, such as music, theater, or dance",3410,Griffis Sculpture Park,5.958495174,3
"performing arts, such as music, theater, or dance",2472,Michigan State University Bug House,5.83398842,2
"performing arts, such as music, theater, or dance",1325,Southern Illinois University Carbondale University Museum,5.832133144,3
"performing arts, such as music, theater, or dance",4714,Tennessee State Museum,5.824777825,2
"performing arts, such as music, theater, or dance",254,Mosaic Templars Cultural Center,5.761809575,3
"performing arts, such as music, theater, or dance",5447,Museum of the Bible,5.751050058,2
"performing arts, such as music, theater, or dance",3928,Butler Institute of American Art,5.735395419,3
"performing arts, such as music, theater, or dance",1163,Chicago Cultural Center,5.70601305,4
"performing arts, such as music, theater, or dance",5122,Future of Flight Aviation Center & Boeing Tour,5.665330612,2
"performing arts, such as music, theater, or dance",4722,Vanderbilt University Galleries,5.638680797,3
"performing arts, such as music, theater, or dance",3381,Fenimore Art Museum,5.538229606,3
"performing arts, such as music, theater, or dance",1900,Desert of Maine,5.502355458,2
"performing arts, such as music, theater, or dance",2515,Saginaw Valley State University Art Gallery,5.47196389,3
"performing arts, such as music, theater, or dance",1785,Shaker Village of Pleasant Hill,5.361456418,3
"performing arts, such as music, theater, or dance",1135,Arts Club of Chicago,5.26356824,4
"performing arts, such as music, theater, or dance",3672,Bechtler Museum of Modern Art,5.24562033,3
"performing arts, such as music, theater, or dance",4275,Lehigh University Art Galleries,5.083069519,3
"performing arts, such as music, theater, or dance",2568,American Swedish Institute,5.048851229,3
"performing arts, such as music, theater, or dance",1003,Georgia Southern University Center for Art and Theatre,5.035769022,4
"performing arts, such as music, theater, or dance",5577,Old Bethpage Village Restoration,4.912574339,2
"performing arts, such as music, theater, or dance",220,Crystal Bridges Museum of American Art,4.912512711,3
"performing arts, such as music, theater, or dance",5513,Callanwolde Fine Arts Center,4.859206746,4
"performing arts, such as music, theater, or dance",3536,Old Quaker Store Museum,4.827511698,2
"performing arts, such as music, theater, or dance",1107,Boise State University Vertebrate Museum,4.776015089,2
"performing arts, such as music, theater, or dance",5641,Gallery 360 at Northeastern University,4.453242333,3
"performing arts, such as music, theater, or dance",1084,Honolulu Museum of Art,4.430953718,3
"performing arts, such as music, theater, or dance",633,American Police Hall of Fame & Museum,4.417856617,2
"performing arts, such as music, theater, or dance",1281,Museum of the Grand Prairie,4.335123753,3
"performing arts, such as music, theater, or dance",793,Lake City-Columbia County Historical Museum,4.175926308,2
"performing arts, such as music, theater, or dance",1434,Indianapolis Museum of Art,3.889194595,3
"performing arts, such as music, theater, or dance",4021,Oak Hill Cottage Museum,3.876249773,2
"performing arts, such as music, theater, or dance",2124,Battleship Cove,3.66210195,2
"performing arts, such as music, theater, or dance",3539,Oneida Community Mansion House,3.628475599,3
"performing arts, such as music, theater, or dance",3506,National Comedy Center,3.563025817,4
"performing arts, such as music, theater, or dance",3651,Yates County History Center,3.525789616,2
"performing arts, such as music, theater, or dance",3845,Tryon Palace Historic Site & Gardens,3.500744211,3
"performing arts, such as music, theater, or dance",205,Arkansas Museum of Discovery,3.488243776,2
"performing arts, such as music, theater, or dance",5712,Nelson-Atkins Museum of Art,3.389698334,3
"performing arts, such as music, theater, or dance",2255,Mission House,3.326228944,2
"performing arts, such as music, theater, or dance",4654,Guinness World Records,3.290437367,2
"performing arts, such as music, theater, or dance",5463,National Museum of Natural History,3.253750028,2
"performing arts, such as music, theater, or dance",2463,McGulpin Point Light,3.177064178,2
"performing arts, such as music, theater, or dance",361,Denver Art Museum,3.042114295,3
"performing arts, such as music, theater, or dance",4277,Little Buffalo State Park,3.011096286,2
"performing arts, such as music, theater, or dance",1378,Conner Prairie,2.842549747,3
"performing arts, such as music, theater, or dance",3625,Top Cottage,2.711837504,2
"performing arts, such as music, theater, or dance",1046,Oglethorpe University Museum of Art,2.598304614,3
"performing arts, such as music, theater, or dance",5519,Delta Flight Museum,2.543689484,2
"performing arts, such as music, theater, or dance",5435,Hirshhorn Museum and Sculpture Garden,2.342328353,3
"performing arts, such as music, theater, or dance",2483,New Presque Isle Light,2.223456728,2
"performing arts, such as music, theater, or dance",787,Kennedy Space Center Visitor Complex,1.859410739,2
"performing arts, such as music, theater, or dance",726,Florida Museum of Natural History,1.77543063,2
"performing arts, such as music, theater, or dance",1525,Bob Feller Museum,1.161172971,2
"performing arts, such as music, theater, or dance",5668,USS Constitution,0.487637489,2
technological or scientific innovations,2028,Goddard Visitor Center,6.624014908,5
technological or scientific innovations,3528,Niagara Science Museum,6.160930086,5
technological or scientific innovations,4196,Delaware County Institute of Science,5.837606772,4
technological or scientific innovations,776,IGFA Fishing Hall of Fame & Museum,5.817691339,3
technological or scientific innovations,3227,Bradbury Science Museum,5.741808856,5
technological or scientific innovations,2797,University of Mississippi Museum,5.504089286,2
technological or scientific innovations,1197,Field Museum of Natural History,5.461286691,4
technological or scientific innovations,5299,Hamilton Wood Type and Printing Museum,5.443369851,3
technological or scientific innovations,5607,Carnegie Museum of Natural History,5.314831345,4
technological or scientific innovations,2895,Glendive Dinosaur and Fossil Museum,5.288540314,3
technological or scientific innovations,1126,Adler Planetarium,5.21184217,5
technological or scientific innovations,5141,Mount St Helens Creation Center,5.165048193,3
technological or scientific innovations,399,Morrison Natural History Museum,5.114595917,3
technological or scientific innovations,5033,Science Museum of Western Virginia,5.046196024,5
technological or scientific innovations,4669,McClung Museum of Natural History and Culture,4.999004937,2
technological or scientific innovations,2064,National Institutes of Health Visitor Center and Nobel Laureate Exhibit Hall,4.892671441,5
technological or scientific innovations,2298,Reed Homestead,4.862583019,1
technological or scientific innovations,1932,Maine Mineral and Gem Museum,4.837831495,3
technological or scientific innovations,886,Phillip and Patricia Frost Museum of Science,4.795934895,5
technological or scientific innovations,2777,Mississippi Museum of Natural Science,4.782819418,3
technological or scientific innovations,2847,Mastodon State Historic Site,4.77925593,3
technological or scientific innovations,2145,Cape Ann Museum,4.723826031,1
technological or scientific innovations,772,History of Diving Museum,4.688433637,3
technological or scientific innovations,5438,Interior Museum,4.685009357,3
technological or scientific innovations,2706,Runestone Museum,4.67136211,2
technological or scientific innovations,2159,Concord Museum,4.667116309,1
technological or scientific innovations,2155,Coffin House,4.581282718,1
technological or scientific innovations,5399,Weis Earth Science Museum,4.542353087,3
technological or scientific innovations,2913,University of Montana Western Gallery/ Museum,4.539138794,2
technological or scientific innovations,3559,Roberson Museum and Science Center,4.529523153,3
technological or scientific innovations,3223,Aztec Ruins National Monument,4.47579491,2
technological or scientific innovations,155,Meteor Crater,4.469561545,4
technological or scientific innovations,2256,Mitchell House,4.389278064,2
technological or scientific innovations,2267,Natural Science Museum in Hinchman House,4.389278064,3
technological or scientific innovations,35,George Washington Carver Museum,4.374312127,3
technological or scientific innovations,4768,Ott Planetarium,4.330749,5
technological or scientific innovations,1962,Poland Spring Museum and Environmental Education Center,4.313276598,3
technological or scientific innovations,2436,Impression 5 Science Center,4.293069482,5
technological or scientific innovations,2135,Blue Hill Observatory & Science Center,4.278754357,3
technological or scientific innovations,4676,Metal Museum,4.22798754,1
technological or scientific innovations,4265,Joseph Priestley House,4.171115855,4
technological or scientific innovations,2197,Harvard Museum of Natural History,4.159448112,4
technological or scientific innovations,5176,Whale Museum,4.129989761,2
technological or scientific innovations,599,Delaware Museum of Nature and Science,4.093095405,4
technological or scientific innovations,3493,Milton J. Rubenstein Museum of Science and Technology,4.051729423,5
technological or scientific innovations,3228,Capulin Volcano National Monument,4.047257699,2
technological or scientific innovations,40,Huntsville Museum of Art,4.008684465,1
technological or scientific innovations,2692,Oliver Kelley Farm,3.981315886,2
technological or scientific innovations,1638,"Columbian Theatre, Museum & Art Center",3.976379882,1
technological or scientific innovations,4657,Hunter Museum of American Art,3.9421676,1
technological or scientific innovations,3225,Blackwater Draw Museum & Archaeological Site,3.919886103,2
technological or scientific innovations,1096,Pacific Tsunami Museum,3.894301754,3
technological or scientific innovations,1424,Indiana Medical History Museum,3.863807397,4
technological or scientific innovations,4834,Sullivan Museum and History Center,3.820741243,2
technological or scientific innovations,2577,Bell Museum of Natural History,3.803667136,3
technological or scientific innovations,4022,Oberlin Heritage Center,3.797472935,1
technological or scientific innovations,1087,Jaggar Museum,3.753587334,2
technological or scientific innovations,1227,International Museum of Surgical Science,3.750842034,4
technological or scientific innovations,5,Alabama Museum of Natural History,3.733377711,3
technological or scientific innovations,2257,MIT Museum,3.698223845,5
technological or scientific innovations,362,Denver Firefighters Museum,3.694671442,2
technological or scientific innovations,5486,The Wilderness Society Gallery,3.672813859,1
technological or scientific innovations,2106,William P. Didusch Center for Urologic History,3.528040996,3
technological or scientific innovations,2652,Jeffers Petroglyphs,3.50682461,2
technological or scientific innovations,3419,Herbert F. Johnson Museum of Art,3.47077298,1
technological or scientific innovations,2575,The Bakken,3.465148267,4
technological or scientific innovations,3524,New York State Museum,3.404008348,3
technological or scientific innovations,1223,Illinois State Museum,3.309606,3
technological or scientific innovations,5463,National Museum of Natural History,3.27141953,5
technological or scientific innovations,3988,Johnson-Humrickhouse Museum,3.224751709,1
technological or scientific innovations,148,Kitt Peak National Observatory,3.161183922,5
technological or scientific innovations,1229,ISM Chicago Gallery,3.150316337,3
technological or scientific innovations,1261,Lockport Gallery,3.150316337,1
technological or scientific innovations,1324,Southern Illinois Art & Artisans Center,3.150316337,1
technological or scientific innovations,4647,Fort Negley,3.148769922,1
technological or scientific innovations,449,Barnum Museum,3.113616713,1
technological or scientific innovations,3226,Bosque Redondo Memorial,3.112106109,2
technological or scientific innovations,1724,Creation Museum,3.084275536,2
technological or scientific innovations,5542,Brookhaven National Laboratory Science Learning Center,3.081829848,5
technological or scientific innovations,5443,Library of Congress,3.069786014,3
technological or scientific innovations,1149,Burpee Museum of Natural History,3.054314628,3
technological or scientific innovations,5545,Cradle of Aviation Museum,3.052861004,5
technological or scientific innovations,2904,Montana Museum of Art & Culture,3.045613593,2
technological or scientific innovations,5032,Science Museum of Virginia,2.972231213,5
technological or scientific innovations,2909,Ravalli County Museum,2.962621998,2
technological or scientific innovations,1515,Wylie House,2.920803224,1
technological or scientific innovations,349,Children's Museum of Denver,2.918145742,3
technological or scientific innovations,3270,New Mexico Museum of Natural History and Science,2.87756455,5
technological or scientific innovations,1010,Gwinnett Environmental & Heritage Center,2.854515078,3
technological or scientific innovations,1800,Wickliffe Mounds,2.81443718,2
technological or scientific innovations,5066,Virginia Institute of Marine Science Visitor Center and Aquarium,2.807047534,4
technological or scientific innovations,4740,Bryce Canyon National Park,2.766194235,2
technological or scientific innovations,2511,University of Michigan School of Art & Design Galleries,2.759944831,1
technological or scientific innovations,1373,Chellberg Farmhouse,2.756684012,1
technological or scientific innovations,4730,Arches National Park,2.702105929,2
technological or scientific innovations,1193,Everett Galleries at Monmouth College,2.690865584,1
technological or scientific innovations,713,Fairchild Tropical Botanic Garden,2.633059853,3
technological or scientific innovations,2349,Ann Arbor Hands-On Museum,2.591572121,5
technological or scientific innovations,2337,Wistariahurst Museum,2.560282783,1
technological or scientific innovations,850,Museum of Science and Industry,2.557474846,5
technological or scientific innovations,3229,Carlsbad Caverns National Park,2.539503922,2
technological or scientific innovations,5572,Montauk Point Lighthouse,2.537243048,2
technological or scientific innovations,2370,Chippewa Nature Center,2.519306181,2
technological or scientific innovations,3288,Very Large Array,2.518317121,5
technological or scientific innovations,4565,Badlands National Park,2.488761585,2
technological or scientific innovations,3240,Ernie Pyle House/Library,2.481620846,1
technological or scientific innovations,4194,Da Vinci Science Center,2.429609507,5
technological or scientific innovations,1000,Georgia Museum of Natural History,2.424100549,3
technological or scientific innovations,3501,Museum of the Earth,2.422269778,4
technological or scientific innovations,3399,George Eastman Museum,2.421355428,3
technological or scientific innovations,4136,Sam Noble Oklahoma Museum of Natural History,2.398495423,3
technological or scientific innovations,547,Peabody Museum of Natural History,2.384452391,4
technological or scientific innovations,2710,Science Museum of Minnesota,2.361627722,5
technological or scientific innovations,5675,Burke Museum of Natural History and Culture,2.327353715,4
technological or scientific innovations,365,Dinosaur National Monument,2.284257235,3
technological or scientific innovations,2066,National Museum of Health and Medicine,2.260908835,5
technological or scientific innovations,5142,Mount St. Helens - Johnston Ridge Observatory,2.186911423,4
technological or scientific innovations,5143,Mount St. Helens Visitor Center at Silver Lake,2.186911423,4
technological or scientific innovations,5666,Suffolk University Gallery,2.126026439,1
technological or scientific innovations,361,Denver Art Museum,2.099411844,1
technological or scientific innovations,5459,National Museum of American History,2.084572297,4
technological or scientific innovations,53,Moundville Archaeological Park,2.06843978,2
technological or scientific innovations,3264,National Museum of Nuclear Science & History,1.988296857,5
technological or scientific innovations,4734,Big Water Visitor Center,1.972401113,2
technological or scientific innovations,4743,Cannonville Visitor Center,1.972401113,2
technological or scientific innovations,4752,Escalante Interagency Visitor Center,1.972401113,2
technological or scientific innovations,4761,Kanab Visitor Center,1.972401113,2
technological or scientific innovations,5631,Boston Athenæum,1.971794812,1
technological or scientific innovations,2472,Michigan State University Bug House,1.879845169,2
technological or scientific innovations,3347,Chautauqua Institution,1.85276406,1
technological or scientific innovations,3805,North Carolina Museum of Natural Sciences,1.834746081,5
technological or scientific innovations,5480,Smithsonian American Art Museum,1.830557371,3
technological or scientific innovations,5222,Huntington Museum of Art,1.824829024,1
technological or scientific innovations,1785,Shaker Village of Pleasant Hill,1.764104663,1
technological or scientific innovations,112,Arizona-Sonora Desert Museum,1.727522462,4
technological or scientific innovations,2781,Mississippi State University Galleries,1.718727875,1
technological or scientific innovations,726,Florida Museum of Natural History,1.692873764,4
technological or scientific innovations,3806,North Carolina Museum of Natural Sciences at Whiteville,1.653171083,5
technological or scientific innovations,1054,Sapelo Island Visitors Center,1.637555913,2
technological or scientific innovations,1670,Kansas State University Historic Costume and Textile Museum,1.55461001,1
technological or scientific innovations,1671,Kansas State University Insect Zoo,1.55461001,2
technological or scientific innovations,4760,Island in the Sky Visitor Center,1.522869517,2
technological or scientific innovations,2430,The Henry Ford,1.506418333,4
technological or scientific innovations,3304,Albany Institute of History & Art,1.463458069,1
technological or scientific innovations,4140,Spiro Mounds,1.438838265,1
technological or scientific innovations,4735,Bingham Canyon Mine Visitors Center,1.402963082,4
technological or scientific innovations,5055,University of Virginia Galleries,1.383894708,1
technological or scientific innovations,4744,Capitol Reef National Park,1.378541037,2
technological or scientific innovations,3677,Biltmore Estate,1.377948775,1
technological or scientific innovations,5527,High Museum of Art,1.364465835,1
technological or scientific innovations,4046,Serpent Mound,1.310123226,2
technological or scientific innovations,4980,Monticello,1.283386946,1
technological or scientific innovations,2029,Goucher College Art Galleries,1.268163424,1
technological or scientific innovations,1738,Frazier History Museum,1.214614635,1
technological or scientific innovations,1134,Art Institute of Chicago,1.183684306,1
technological or scientific innovations,1864,Poverty Point State Historic Site,1.137505456,2
technological or scientific innovations,1218,Hull House,1.067999554,1
technological or scientific innovations,4512,The Hunley,1.035417429,2
technological or scientific innovations,4486,Clemson University Galleries,1.014297065,1
technological or scientific innovations,1150,Cahokia Mounds State Historic Site,1.011896996,2
technological or scientific innovations,4543,Ripley's Believe It or Not!,1.003506964,2
technological or scientific innovations,4984,Mount Vernon,0.942882115,1
technological or scientific innovations,5387,Taliesin,0.939567541,1
technological or scientific innovations,3230,Chaco Culture National Historical Park,0.932058836,2
technological or scientific innovations,897,Ripley's Believe It or Not! Museum,0.906377471,2
technological or scientific innovations,5025,Ripley's Believe It or Not!,0.906377471,2
technological or scientific innovations,5636,Boston University Art Galleries,0.894153851,1
technological or scientific innovations,2040,Historic St. Mary's City,0.807052163,2
technological or scientific innovations,5076,Virginia Tech Galleries,0.762536652,1
technological or scientific innovations,5457,National Museum of African American History and Culture,0.611952341,2
technological or scientific innovations,1434,Indianapolis Museum of Art,0.59886908,1
technological or scientific innovations,390,Mesa Verde National Park,0.575393863,2
technological or scientific innovations,5668,USS Constitution,0.482584027,2
engineering museums,4446,New England Wireless and Steam Museum,7.163676239,5
engineering museums,932,Tampa Bay Automobile Museum,6.607294711,3
engineering museums,2196,Hart Nautical Museum,6.375037202,5
engineering museums,1871,Shreveport Water Works Museum,6.138565802,4
engineering museums,39,Huntsville Depot,6.136157663,3
engineering museums,5033,Science Museum of Western Virginia,6.049056979,3
engineering museums,1640,Cosmosphere,5.751926937,2
engineering museums,205,Arkansas Museum of Discovery,5.696178644,2
engineering museums,2436,Impression 5 Science Center,5.600581097,3
engineering museums,4119,Oklahoma Contemporary,5.577951114,1
engineering museums,824,Merrill House Museum,5.567295438,1
engineering museums,2954,Kregel Windmill Museum,5.55551053,3
engineering museums,4304,National Canal Museum,5.545176354,3
engineering museums,1929,Maine Discovery Museum,5.508891444,2
engineering museums,1359,Auburn Cord Duesenberg Automobile Museum,5.464429884,3
engineering museums,3330,Buffalo Museum of Science,5.442115657,2
engineering museums,5676,Center for Wooden Boats,5.429702593,2
engineering museums,5608,Center for PostNatural History,5.343948161,1
engineering museums,2470,Michigan Maritime Museum,5.291454133,2
engineering museums,1448,Louis J. Koch Family Children's Museum of Evansville,5.26248315,1
engineering museums,4275,Lehigh University Art Galleries,5.239618647,1
engineering museums,5682,Georgetown Steam Plant,5.082540889,5
engineering museums,4774,Snow College Art Gallery,4.994336082,1
engineering museums,4793,BCA Center,4.88162156,1
engineering museums,4015,National Museum of the United States Air Force,4.873511744,2
engineering museums,4137,Science Museum Oklahoma,4.832534553,3
engineering museums,3826,Richard Petty Museum,4.803327357,2
engineering museums,533,New England Air Museum,4.799355949,4
engineering museums,1479,Purdue University Galleries,4.796056184,1
engineering museums,3221,Anderson-Abruzzo Albuquerque International Balloon Museum,4.766629825,3
engineering museums,1083,Hawaii Children's Discovery Center,4.743107951,1
engineering museums,5452,National Children's Museum,4.726727577,1
engineering museums,4072,Youngstown State University Mineral Museum,4.714979236,1
engineering museums,2471,Michigan Science Center,4.693659145,3
engineering museums,274,University Museum and Cultural Center,4.683350157,1
engineering museums,4486,Clemson University Galleries,4.653298143,1
engineering museums,2063,National Electronics Museum,4.595774943,5
